Date,Store_ID,Store_Location,Region,SKU,SKU_Category,SKU_SubCategory,Brand,Unit_Price,Discount,Promo_Flag,Stock_On_Hand,Supplier_ID,Supplier_Rating,Weather,DayOfWeek,Holiday_Flag,Footfall,Basket_Size,Avg_Customer_Age,Loyalty_Segment,Staff_Count,Competitor_Price,Web_Orders,Mobile_Orders,Units_Sold,Sales_Revenue
01/01/2022,SHJ03,Dubai,North,1004,Bakery,SubA,BrandB,9.03,0.2,0,77,SUP01,3.09,Cool,5,0,381,6.97,29,Gold,6,25.5,35,35,300,2167.2
02/01/2022,ALN04,Abu Dhabi,West,1019,Dairy,SubC,BrandA,18.27,0.1,1,18,SUP03,3.79,Hot,6,0,392,2.54,34.9,Bronze,20,35.83,64,23,355,5837.26
03/01/2022,DXB01,Al Ain,South,1020,Beverages,SubC,BrandD,4.33,0.15,0,102,SUP03,3.83,Rainy,0,0,1083,2.26,32.5,Gold,9,30.24,84,11,332,1221.93
04/01/2022,SHJ03,Abu Dhabi,North,1057,Beverages,SubB,BrandB,10.51,0.15,0,159,SUP02,3.9,Cool,1,0,119,1.11,27,Platinum,9,24.02,76,21,292,2608.58
05/01/2022,SHJ03,Dubai,South,1030,Personal Care,SubC,BrandD,15.8,0.1,1,164,SUP01,4.65,Cool,2,0,858,2.47,31.6,Bronze,15,5.67,89,72,256,3640.32
06/01/2022,ALN04,Abu Dhabi,North,1099,Beverages,SubB,BrandA,18.67,0,1,147,SUP03,3.2,Hot,3,0,504,4.63,29.7,Silver,16,29.57,44,22,336,6273.12
07/01/2022,DXB01,Dubai,Central,1010,Personal Care,SubA,BrandD,39.14,0.05,0,134,SUP01,4.41,Cool,4,0,800,4.77,52.5,Silver,23,8.51,8,73,227,8440.54
08/01/2022,DXB01,Abu Dhabi,South,1051,Snacks,SubA,BrandC,32.7,0,0,70,SUP04,3.68,Sunny,5,1,1079,2.78,46.5,Gold,20,19.7,36,62,257,8403.9
09/01/2022,SHJ03,Dubai,South,1014,Snacks,SubB,BrandA,30.02,0.1,0,60,SUP02,3.62,Sunny,6,0,125,1.51,32.4,Bronze,8,28.98,86,29,236,6376.25
10/01/2022,AUH02,Dubai,West,1082,Produce,SubA,BrandC,22.41,0.1,1,19,SUP04,4.87,Sunny,0,0,665,6.21,47.2,Silver,12,35.59,0,18,407,8208.78
11/01/2022,SHJ03,Dubai,South,1006,Personal Care,SubA,BrandD,33.92,0.05,0,143,SUP01,3.5,Cool,1,0,494,6.31,22.7,Bronze,12,31.39,65,25,264,8507.14
12/01/2022,SHJ03,Al Ain,South,1027,Produce,SubB,BrandC,14.89,0.2,0,71,SUP04,4.29,Rainy,2,0,1100,7.98,39.4,Bronze,22,30.81,62,10,334,3978.61
13/01/2022,SHJ03,Abu Dhabi,Central,1050,Produce,SubB,BrandA,28.94,0.2,1,122,SUP02,3.55,Rainy,3,0,622,7.3,30.3,Bronze,21,8.24,42,19,244,5649.09
14/01/2022,SHJ03,Abu Dhabi,South,1057,Snacks,SubA,BrandC,39.76,0.05,0,142,SUP01,4.01,Cool,4,1,961,7.48,25.8,Silver,21,16.75,27,55,280,10576.16
15/01/2022,ALN04,Abu Dhabi,Central,1004,Personal Care,SubC,BrandD,13.96,0.2,1,131,SUP03,4.57,Rainy,5,0,901,6.59,51.2,Gold,13,3.65,99,44,262,2926.02
16/01/2022,DXB01,Dubai,Central,1004,Snacks,SubC,BrandD,27.61,0.15,0,132,SUP04,4.76,Rainy,6,0,649,5.31,28.6,Bronze,8,32.88,30,67,280,6571.18
17/01/2022,ALN04,Abu Dhabi,Central,1093,Produce,SubB,BrandD,34.08,0.2,0,193,SUP02,4.68,Cool,0,0,186,1.9,49.1,Silver,20,42.95,68,46,285,7770.24
18/01/2022,ALN04,Abu Dhabi,Central,1095,Personal Care,SubB,BrandA,36.8,0.2,0,196,SUP03,4.16,Sunny,1,0,932,5.36,35.6,Silver,6,13.21,88,57,238,7006.72
19/01/2022,ALN04,Dubai,North,1007,Produce,SubC,BrandD,29.28,0.2,1,72,SUP02,3.5,Cool,2,0,486,1.39,22.5,Bronze,15,5.59,7,9,253,5926.27
20/01/2022,SHJ03,Sharjah,West,1063,Bakery,SubA,BrandA,12.78,0.15,0,120,SUP01,4.32,Sunny,3,0,1062,7.2,46.2,Gold,7,22.34,33,21,340,3693.42
21/01/2022,AUH02,Dubai,North,1009,Personal Care,SubC,BrandC,14.4,0.2,0,98,SUP01,4.42,Sunny,4,1,767,4.37,41.7,Bronze,12,38.81,48,70,353,4066.56
22/01/2022,DXB01,Abu Dhabi,South,1037,Personal Care,SubC,BrandD,2.79,0.15,0,196,SUP04,3.02,Rainy,5,0,385,5.88,33.4,Bronze,19,25.65,95,23,313,742.28
23/01/2022,AUH02,Dubai,North,1095,Produce,SubC,BrandC,30.91,0.05,0,60,SUP02,3.88,Rainy,6,0,797,1.37,31.3,Bronze,21,3.82,57,65,248,7282.4
24/01/2022,ALN04,Sharjah,North,1091,Bakery,SubC,BrandB,3.62,0,1,187,SUP02,4.69,Sunny,0,0,1064,4.74,24.4,Gold,20,43.89,74,60,417,1509.54
25/01/2022,ALN04,Dubai,South,1080,Dairy,SubB,BrandC,34.86,0.05,0,141,SUP02,3.98,Sunny,1,0,468,3.11,53.1,Platinum,12,37.6,46,6,284,9405.23
26/01/2022,AUH02,Abu Dhabi,South,1094,Snacks,SubB,BrandB,6.51,0,0,113,SUP01,3.62,Rainy,2,0,754,2.99,38.3,Bronze,18,7.48,24,71,297,1933.47
27/01/2022,AUH02,Sharjah,South,1007,Produce,SubA,BrandC,8.53,0.05,1,132,SUP04,4.74,Hot,3,0,753,3.73,24.8,Bronze,15,41.62,2,37,383,3103.64
28/01/2022,AUH02,Al Ain,North,1024,Personal Care,SubA,BrandA,20.11,0,0,57,SUP02,3.31,Sunny,4,0,796,1,50.7,Silver,14,21.27,44,20,269,5409.59
29/01/2022,ALN04,Abu Dhabi,North,1072,Snacks,SubA,BrandC,30.04,0,0,41,SUP02,3.41,Sunny,5,0,1123,4.27,31.2,Silver,14,17.87,51,7,261,7840.44
30/01/2022,ALN04,Sharjah,South,1065,Snacks,SubA,BrandA,7.28,0.1,0,129,SUP03,4.37,Sunny,6,0,1014,4.41,28.7,Silver,11,21.72,95,27,352,2306.3
31/01/2022,DXB01,Sharjah,West,1078,Snacks,SubC,BrandA,18.72,0,1,188,SUP02,3.7,Rainy,0,0,387,7.04,31.3,Platinum,17,37.85,98,53,361,6757.92
01/02/2022,DXB01,Al Ain,West,1049,Dairy,SubB,BrandD,20.35,0,0,189,SUP04,4.43,Cool,1,0,194,4.14,40.6,Gold,19,30.29,95,30,297,6043.95
02/02/2022,ALN04,Dubai,Central,1066,Beverages,SubB,BrandA,10.07,0.1,0,108,SUP03,3.32,Sunny,2,0,768,3.54,24.4,Gold,12,4.36,33,40,290,2628.27
03/02/2022,AUH02,Dubai,South,1048,Produce,SubA,BrandB,6.39,0.2,0,83,SUP03,3.5,Sunny,3,0,140,7.96,37.9,Silver,13,43.17,68,36,280,1431.36
04/02/2022,AUH02,Abu Dhabi,Central,1035,Beverages,SubA,BrandD,33.78,0.2,0,43,SUP03,3.31,Sunny,4,0,430,5,51.6,Bronze,13,8.18,91,37,210,5675.04
05/02/2022,DXB01,Al Ain,West,1067,Beverages,SubC,BrandD,21.09,0.1,0,173,SUP01,4.91,Cool,5,0,603,4.31,28.2,Silver,13,34.01,91,50,339,6434.56
06/02/2022,ALN04,Dubai,Central,1077,Beverages,SubC,BrandC,2.55,0.15,0,79,SUP03,3.81,Cool,6,0,374,4.47,32.9,Bronze,7,29.28,7,36,307,665.42
07/02/2022,DXB01,Al Ain,South,1040,Snacks,SubA,BrandA,32.51,0,0,180,SUP02,3.67,Sunny,0,0,278,6.66,35.1,Bronze,19,9.9,26,30,213,6924.63
08/02/2022,DXB01,Dubai,South,1088,Bakery,SubB,BrandA,39.27,0,0,119,SUP01,3.03,Sunny,1,0,236,3.38,41.3,Bronze,15,9.18,79,61,194,7618.38
09/02/2022,SHJ03,Sharjah,South,1061,Snacks,SubB,BrandB,25.03,0.1,0,25,SUP01,3.31,Hot,2,0,866,3.72,52.3,Silver,23,39.4,62,17,330,7433.91
10/02/2022,SHJ03,Dubai,North,1009,Snacks,SubB,BrandC,21.14,0.1,0,68,SUP01,3.84,Cool,3,0,1087,6.29,35,Silver,23,19.93,81,5,286,5441.44
11/02/2022,SHJ03,Al Ain,Central,1020,Personal Care,SubA,BrandC,35.38,0.15,1,190,SUP01,3.14,Hot,4,0,342,1.51,24.3,Silver,23,30.08,24,8,278,8360.29
12/02/2022,AUH02,Sharjah,West,1035,Personal Care,SubB,BrandD,38.2,0.2,1,28,SUP01,4.02,Sunny,5,0,296,7.06,33.5,Bronze,21,23.58,57,10,231,7059.36
13/02/2022,ALN04,Sharjah,West,1011,Beverages,SubC,BrandD,30.67,0.05,0,104,SUP01,3.91,Sunny,6,0,625,4.01,28.3,Silver,10,33.22,47,1,274,7983.4
14/02/2022,ALN04,Sharjah,West,1090,Snacks,SubC,BrandD,18.93,0.2,0,122,SUP01,4.53,Sunny,0,1,731,5.07,43.5,Bronze,10,22.5,0,28,338,5118.67
15/02/2022,ALN04,Al Ain,North,1001,Beverages,SubA,BrandB,24.5,0,0,50,SUP03,4.32,Sunny,1,0,507,6.3,23,Silver,15,14.21,7,50,214,5243
16/02/2022,ALN04,Abu Dhabi,North,1012,Personal Care,SubC,BrandB,28.64,0.1,1,90,SUP04,3.89,Rainy,2,0,790,2.86,31.6,Bronze,22,17.5,20,68,264,6804.86
17/02/2022,SHJ03,Abu Dhabi,South,1052,Bakery,SubA,BrandD,9.38,0.15,1,184,SUP02,3.45,Rainy,3,0,269,7.23,40,Gold,18,38.91,97,22,339,2702.85
18/02/2022,AUH02,Abu Dhabi,West,1031,Produce,SubB,BrandC,18.99,0.2,1,112,SUP02,4.45,Rainy,4,1,258,7.85,31.2,Gold,22,22.02,87,6,362,5499.5
19/02/2022,AUH02,Al Ain,North,1094,Beverages,SubB,BrandB,33.53,0.15,0,63,SUP03,4.42,Hot,5,0,546,4.46,40.2,Silver,23,11.02,89,55,226,6441.11
20/02/2022,SHJ03,Sharjah,South,1015,Bakery,SubB,BrandC,26.88,0.2,0,192,SUP03,3.31,Cool,6,0,1117,7.56,25.8,Silver,18,42.17,77,61,356,7655.42
21/02/2022,AUH02,Abu Dhabi,West,1031,Produce,SubC,BrandC,17.63,0,0,104,SUP01,4.83,Sunny,0,0,1180,1.01,53.1,Silver,22,36.21,28,73,369,6505.47
22/02/2022,SHJ03,Al Ain,Central,1031,Dairy,SubA,BrandA,27.21,0.05,0,156,SUP04,3.13,Cool,1,0,211,7.26,31.6,Bronze,20,4.2,29,14,206,5325
